x,y,z
-1072.87109375,-1883.9091796875,144.19943237304688
-1073.4051513671875,-1884.457763671875,144.191650390625
-1073.941162109375,-1885.009521484375,144.18496704101562
-1074.4798583984375,-1885.564453125,144.1792755126953
-1075.02099609375,-1886.1221923828125,144.1747589111328
-1075.5643310546875,-1886.6817626953125,144.17141723632812
-1076.1097412109375,-1887.2432861328125,144.16998291015625
-1076.6571044921875,-1887.8076171875,144.17056274414062
-1077.206787109375,-1888.374267578125,144.1719512939453
-1077.7591552734375,-1888.9425048828125,144.17269897460938
-1078.3138427734375,-1889.511962890625,144.1724395751953
-1078.8701171875,-1890.0831298828125,144.17088317871094
-1079.4276123046875,-1890.657470703125,144.16836547851562
-1079.9869384765625,-1891.236328125,144.16455078125
-1080.54833984375,-1891.8189697265625,144.1591339111328
-1081.1109619140625,-1892.40478515625,144.15206909179688
-1081.673828125,-1892.99365234375,144.145263671875
-1082.2364501953125,-1893.585205078125,144.13926696777344
-1082.7998046875,-1894.1785888671875,144.1334686279297
-1083.3641357421875,-1894.7728271484375,144.12796020507812
-1083.92919921875,-1895.3665771484375,144.1233673095703
-1084.4949951171875,-1895.9591064453125,144.11981201171875
-1085.061279296875,-1896.550048828125,144.11720275878906
-1085.6285400390625,-1897.138671875,144.1153106689453
-1086.1971435546875,-1897.725341796875,144.11338806152344
-1086.76708984375,-1898.31005859375,144.11106872558594
-1087.338623046875,-1898.89208984375,144.10743713378906
-1087.9117431640625,-1899.47119140625,144.1022491455078
-1088.4854736328125,-1900.0479736328125,144.09654235839844
-1089.0604248046875,-1900.622802734375,144.0904541015625
-1089.6368408203125,-1901.1956787109375,144.0823516845703
-1090.2144775390625,-1901.7666015625,144.0725860595703
-1090.7923583984375,-1902.3359375,144.06332397460938
-1091.3704833984375,-1902.904296875,144.05482482910156
-1091.94921875,-1903.4713134765625,144.04669189453125
-1092.5279541015625,-1904.03759765625,144.03948974609375
-1093.106689453125,-1904.602783203125,144.0338592529297
-1093.6854248046875,-1905.166748046875,144.02975463867188
-1094.263671875,-1905.7293701171875,144.0279083251953
-1094.84228515625,-1906.2904052734375,144.02658081054688
-1095.421142578125,-1906.8499755859375,144.0235137939453
-1095.9998779296875,-1907.4078369140625,144.01876831054688
-1096.5784912109375,-1907.9656982421875,144.01242065429688
-1097.1556396484375,-1908.5245361328125,144.0057373046875
-1097.732666015625,-1909.083984375,143.9973602294922
-1098.3082275390625,-1909.6441650390625,143.98983764648438
-1098.8824462890625,-1910.205078125,143.9833984375
-1099.4547119140625,-1910.7664794921875,143.97813415527344
-1100.0262451171875,-1911.3277587890625,143.97341918945312
-1100.596923828125,-1911.888916015625,143.96832275390625
-1101.165771484375,-1912.4505615234375,143.9629669189453
-1101.733154296875,-1913.013427734375,143.95765686035156
-1102.299560546875,-1913.5771484375,143.95205688476562
-1102.864990234375,-1914.141357421875,143.94589233398438
-1103.42919921875,-1914.7060546875,143.93946838378906
-1103.991455078125,-1915.2718505859375,143.933837890625
-1104.5518798828125,-1915.8385009765625,143.9287109375
-1105.1109619140625,-1916.4058837890625,143.92347717285156
-1105.6690673828125,-1916.9737548828125,143.91819763183594
-1106.2261962890625,-1917.5418701171875,143.91336059570312
-1106.78173828125,-1918.110595703125,143.9088592529297
-1107.3367919921875,-1918.6796875,143.90423583984375
-1107.8905029296875,-1919.2490234375,143.89938354492188
-1108.4429931640625,-1919.81884765625,143.8945770263672
-1108.994384765625,-1920.388916015625,143.88995361328125
-1109.5450439453125,-1920.959228515625,143.8848876953125
-1110.09521484375,-1921.529541015625,143.8796844482422
-1110.6448974609375,-1922.10009765625,143.8746337890625
-1111.1943359375,-1922.670166015625,143.86949157714844
-1111.7432861328125,-1923.2401123046875,143.8645477294922
-1112.2918701171875,-1923.809814453125,143.860107421875
-1112.8404541015625,-1924.3792724609375,143.85537719726562
-1113.388916015625,-1924.947998046875,143.85006713867188
-1113.9371337890625,-1925.5164794921875,143.84474182128906
-1114.485107421875,-1926.084716796875,143.83934020996094
-1115.0333251953125,-1926.65234375,143.83309936523438
-1115.5811767578125,-1927.2203369140625,143.8270721435547
-1116.1287841796875,-1927.788818359375,143.82174682617188
-1116.6767578125,-1928.3570556640625,143.8167266845703
-1117.22509765625,-1928.9248046875,143.81224060058594
-1117.7728271484375,-1929.4925537109375,143.80931091308594
-1118.32080078125,-1930.059814453125,143.8070068359375
-1118.869384765625,-1930.6260986328125,143.80419921875
-1119.4183349609375,-1931.19189453125,143.80140686035156
-1119.9671630859375,-1931.7579345703125,143.79873657226562
-1120.5164794921875,-1932.32373046875,143.7955780029297
-1121.0660400390625,-1932.8895263671875,143.79200744628906
-1121.6158447265625,-1933.4554443359375,143.78843688964844
-1122.16552734375,-1934.0213623046875,143.78514099121094
-1122.715087890625,-1934.587158203125,143.78164672851562
-1123.2646484375,-1935.1529541015625,143.77792358398438
-1123.814208984375,-1935.7186279296875,143.77410888671875
-1124.3638916015625,-1936.2838134765625,143.76974487304688
-1124.9136962890625,-1936.8492431640625,143.76466369628906
-1125.4632568359375,-1937.4146728515625,143.75979614257812
-1126.01318359375,-1937.9803466796875,143.75486755371094
-1126.563232421875,-1938.545654296875,143.7498321533203
-1127.1131591796875,-1939.1109619140625,143.74497985839844
-1127.6630859375,-1939.676025390625,143.74073791503906
-1128.213134765625,-1940.2406005859375,143.73683166503906
-1128.76318359375,-1940.804931640625,143.73324584960938
-1129.3134765625,-1941.369140625,143.72972106933594
-1129.863525390625,-1941.933349609375,143.72618103027344
-1130.41357421875,-1942.4974365234375,143.72283935546875
-1130.9635009765625,-1943.0609130859375,143.71865844726562
-1131.51318359375,-1943.624267578125,143.71347045898438
-1132.0623779296875,-1944.1881103515625,143.70816040039062
-1132.6112060546875,-1944.7529296875,143.70333862304688
-1133.160400390625,-1945.31787109375,143.6978759765625
-1133.709228515625,-1945.883056640625,143.691162109375
-1134.25732421875,-1946.44775390625,143.68386840820312
-1134.80517578125,-1947.012451171875,143.67669677734375
-1135.352294921875,-1947.577392578125,143.66896057128906
-1135.8990478515625,-1948.14306640625,143.66075134277344
-1136.4468994140625,-1948.7088623046875,143.65115356445312
-1136.9940185546875,-1949.275390625,143.64149475097656
-1137.540771484375,-1949.84228515625,143.63284301757812
-1138.0872802734375,-1950.4091796875,143.6256866455078
-1138.6337890625,-1950.9759521484375,143.6207733154297
-1139.18017578125,-1951.5423583984375,143.6179656982422
-1139.7274169921875,-1952.107666015625,143.61602783203125
-1140.275146484375,-1952.672119140625,143.61386108398438
-1140.823486328125,-1953.2352294921875,143.61041259765625
-1141.3721923828125,-1953.797607421875,143.60560607910156
-1141.9207763671875,-1954.35986328125,143.60025024414062
-1142.46923828125,-1954.922607421875,143.59521484375
-1143.0185546875,-1955.4849853515625,143.58843994140625
-1143.5684814453125,-1956.04638671875,143.57974243164062
-1144.1180419921875,-1956.607666015625,143.57077026367188
-1144.6669921875,-1957.1693115234375,143.5626220703125
-1145.2161865234375,-1957.7313232421875,143.5543212890625
-1145.7657470703125,-1958.2933349609375,143.54571533203125
-1146.3160400390625,-1958.855224609375,143.53811645507812
-1146.8662109375,-1959.416748046875,143.5321044921875
-1147.4168701171875,-1959.9774169921875,143.5270538330078
-1147.9681396484375,-1960.5372314453125,143.5228271484375
-1148.5196533203125,-1961.0963134765625,143.51931762695312
-1149.071533203125,-1961.6551513671875,143.5162353515625
-1149.6239013671875,-1962.2135009765625,143.5123748779297
-1150.1766357421875,-1962.771240234375,143.5072021484375
-1150.7288818359375,-1963.329345703125,143.5025177001953
-1151.28125,-1963.887451171875,143.4981231689453
-1151.833984375,-1964.4454345703125,143.49356079101562
-1152.386962890625,-1965.003173828125,143.48837280273438
