x,y,z
-1083.6851806640625,-1873.523193359375,143.8776397705078
-1084.2581787109375,-1874.1036376953125,143.87265014648438
-1084.83154296875,-1874.684814453125,143.86744689941406
-1085.4049072265625,-1875.2672119140625,143.86199951171875
-1085.9788818359375,-1875.8509521484375,143.8568878173828
-1086.552978515625,-1876.43603515625,143.8519744873047
-1087.1270751953125,-1877.022216796875,143.8467254638672
-1087.7012939453125,-1877.6090087890625,143.84152221679688
-1088.2755126953125,-1878.1966552734375,143.83682250976562
-1088.8499755859375,-1878.78515625,143.8321075439453
-1089.4249267578125,-1879.374755859375,143.8268280029297
-1090.000244140625,-1879.96533203125,143.82131958007812
-1090.575927734375,-1880.5570068359375,143.81588745117188
-1091.1522216796875,-1881.149658203125,143.8103790283203
-1091.7286376953125,-1881.743408203125,143.80531311035156
-1092.305419921875,-1882.3377685546875,143.80081176757812
-1092.8828125,-1882.9329833984375,143.79653930664062
-1093.4605712890625,-1883.5286865234375,143.7925262451172
-1094.0386962890625,-1884.125244140625,143.78884887695312
-1094.617431640625,-1884.72216796875,143.78482055664062
-1095.19677734375,-1885.3197021484375,143.78077697753906
-1095.7767333984375,-1885.917724609375,143.77639770507812
-1096.357177734375,-1886.516357421875,143.7707977294922
-1096.9385986328125,-1887.1153564453125,143.76499938964844
-1097.5208740234375,-1887.7154541015625,143.7592010498047
-1098.1038818359375,-1888.316162109375,143.752685546875
-1098.6876220703125,-1888.9173583984375,143.7459259033203
-1099.2720947265625,-1889.5191650390625,143.73934936523438
-1099.8572998046875,-1890.121337890625,143.73281860351562
-1100.4432373046875,-1890.723876953125,143.72625732421875
-1101.0299072265625,-1891.32666015625,143.71981811523438
-1101.617431640625,-1891.9302978515625,143.71347045898438
-1102.2054443359375,-1892.5341796875,143.70700073242188
-1102.7940673828125,-1893.1385498046875,143.7004852294922
-1103.383544921875,-1893.7431640625,143.6945343017578
-1103.9736328125,-1894.3480224609375,143.6887969970703
-1104.564453125,-1894.9534912109375,143.68267822265625
-1105.15576171875,-1895.5589599609375,143.6765899658203
-1105.7479248046875,-1896.164794921875,143.67071533203125
-1106.3406982421875,-1896.7711181640625,143.66473388671875
-1106.9342041015625,-1897.3779296875,143.65875244140625
-1107.5284423828125,-1897.985107421875,143.6527099609375
-1108.123291015625,-1898.5928955078125,143.6465606689453
-1108.718994140625,-1899.2008056640625,143.64056396484375
-1109.3148193359375,-1899.8094482421875,143.63414001464844
-1109.9112548828125,-1900.4188232421875,143.6268310546875
-1110.5096435546875,-1901.028564453125,143.61993408203125
-1111.108642578125,-1901.638916015625,143.61260986328125
-1111.7088623046875,-1902.2501220703125,143.60433959960938
-1112.3106689453125,-1902.861083984375,143.59739685058594
-1112.9136962890625,-1903.472900390625,143.59136962890625
-1113.517578125,-1904.0855712890625,143.5854034423828
-1114.1217041015625,-1904.6988525390625,143.5800018310547
-1114.72607421875,-1905.31298828125,143.57540893554688
-1115.3310546875,-1905.92822265625,143.57057189941406
-1115.93701171875,-1906.544189453125,143.5652618408203
-1116.5439453125,-1907.1612548828125,143.55960083007812
-1117.1517333984375,-1907.7794189453125,143.5538330078125
-1117.7607421875,-1908.3983154296875,143.54774475097656
-1118.3707275390625,-1909.01806640625,143.5415496826172
-1118.98193359375,-1909.6385498046875,143.53564453125
-1119.59423828125,-1910.2598876953125,143.5297088623047
-1120.207275390625,-1910.8822021484375,143.523681640625
-1120.8216552734375,-1911.505126953125,143.5176544189453
-1121.4371337890625,-1912.12890625,143.5118408203125
-1122.0538330078125,-1912.7532958984375,143.50619506835938
-1122.6717529296875,-1913.378662109375,143.50083923339844
-1123.2906494140625,-1914.0048828125,143.49562072753906
-1123.910888671875,-1914.63134765625,143.49050903320312
-1124.5321044921875,-1915.2586669921875,143.4857177734375
-1125.1541748046875,-1915.8865966796875,143.48092651367188
-1125.7779541015625,-1916.5147705078125,143.47621154785156
-1126.4024658203125,-1917.1435546875,143.47100830078125
-1127.0284423828125,-1917.7725830078125,143.4656219482422
-1127.6556396484375,-1918.402099609375,143.4603271484375
-1128.2838134765625,-1919.0321044921875,143.4545440673828
-1128.9134521484375,-1919.6624755859375,143.44879150390625
-1129.5440673828125,-1920.293212890625,143.44293212890625
-1130.1759033203125,-1920.9244384765625,143.43701171875
-1130.8084716796875,-1921.55615234375,143.43125915527344
-1131.4420166015625,-1922.1883544921875,143.42538452148438
-1132.076416015625,-1922.8206787109375,143.41941833496094
-1132.7115478515625,-1923.45361328125,143.4134979248047
-1133.347412109375,-1924.0869140625,143.4073944091797
-1133.984130859375,-1924.7210693359375,143.40126037597656
-1134.621337890625,-1925.355712890625,143.3950653076172
-1135.2591552734375,-1925.9910888671875,143.38865661621094
-1135.897705078125,-1926.6268310546875,143.38258361816406
-1136.5367431640625,-1927.2633056640625,143.3770294189453
-1137.175537109375,-1927.9010009765625,143.37100219726562
-1137.81396484375,-1928.53955078125,143.36431884765625
-1138.452880859375,-1929.1788330078125,143.3585205078125
-1139.092041015625,-1929.8193359375,143.35263061523438
-1139.731201171875,-1930.4613037109375,143.3463897705078
-1140.3707275390625,-1931.103759765625,143.34071350097656
-1141.010009765625,-1931.747314453125,143.33567810058594
-1141.649169921875,-1932.3917236328125,143.33103942871094
-1142.2880859375,-1933.0369873046875,143.3258819580078
-1142.9268798828125,-1933.68310546875,143.32081604003906
-1143.565673828125,-1934.330322265625,143.3157958984375
-1144.204833984375,-1934.978759765625,143.3101348876953
-1144.84326171875,-1935.62841796875,143.3036651611328
-1145.4820556640625,-1936.278564453125,143.29774475097656
-1146.120849609375,-1936.9290771484375,143.2919158935547
-1146.759765625,-1937.580810546875,143.28514099121094
-1147.398681640625,-1938.2330322265625,143.2781524658203
-1148.0379638671875,-1938.885498046875,143.27096557617188
-1148.677978515625,-1939.5386962890625,143.2638702392578
-1149.3177490234375,-1940.1925048828125,143.25633239746094
-1149.957763671875,-1940.8466796875,143.24876403808594
-1150.5982666015625,-1941.5010986328125,143.24172973632812
-1151.2388916015625,-1942.1558837890625,143.23484802246094
-1151.8797607421875,-1942.8111572265625,143.22763061523438
-1152.52099609375,-1943.46630859375,143.22079467773438
-1153.1624755859375,-1944.121826171875,143.21446228027344
-1153.804443359375,-1944.7774658203125,143.20811462402344
-1154.447021484375,-1945.4329833984375,143.2019500732422
-1155.0899658203125,-1946.0882568359375,143.19590759277344
-1155.7332763671875,-1946.7435302734375,143.19024658203125
-1156.377197265625,-1947.39892578125,143.18479919433594
-1157.021728515625,-1948.0543212890625,143.1793975830078
-1157.666748046875,-1948.70947265625,143.174072265625
-1158.3115234375,-1949.36474609375,143.1684112548828
-1158.956787109375,-1950.019775390625,143.16273498535156
-1159.602783203125,-1950.6746826171875,143.1570281982422
-1160.2491455078125,-1951.3299560546875,143.1506805419922
-1160.89599609375,-1951.9849853515625,143.14431762695312
