gear,speed,rpm,throttle,brake,x,y,z,dist
3,82,4219.0,89,0,-1072.87109375,-1883.9091796875,144.19943237304688,0.0
3,82,4230.0,90,0,-1073.137939453125,-1884.18310546875,144.19540405273438,0.38243717166907115
3,82,4243.0,91,0,-1073.4051513671875,-1884.457763671875,144.191650390625,0.7656517663024567
3,82,4253.0,93,0,-1073.6728515625,-1884.733154296875,144.1881866455078,1.1497290872138561
3,82,4259.0,95,0,-1073.941162109375,-1885.009521484375,144.18496704101562,1.5349299929034816
3,83,4269.0,96,0,-1074.210205078125,-1885.2864990234375,144.18199157714844,1.9210770239216641
3,83,4281.0,98,0,-1074.4798583984375,-1885.564453125,144.1792755126953,2.3083479532942235
3,83,4295.0,100,0,-1074.7501220703125,-1885.843017578125,144.17686462402344,2.6964799144419445
3,83,4314.0,100,0,-1075.02099609375,-1886.1221923828125,144.1747589111328,3.0854731562499493
3,83,4334.0,100,0,-1075.292236328125,-1886.4017333984375,144.17291259765625,3.4749829161198598
3,84,4355.0,100,0,-1075.5643310546875,-1886.6817626953125,144.17141723632812,3.865436733410625
3,84,4374.0,100,0,-1075.8369140625,-1886.962158203125,144.17042541503906,4.25649187103064
3,84,4392.0,100,0,-1076.1097412109375,-1887.2432861328125,144.16998291015625,4.648241486965984
3,84,4409.0,100,0,-1076.3831787109375,-1887.5252685546875,144.17007446289062,5.041029166297507
3,84,4425.0,100,0,-1076.6571044921875,-1887.8076171875,144.17056274414062,5.434419967541118
3,85,4440.0,100,0,-1076.931640625,-1888.0906982421875,144.1712646484375,5.828761779187146
3,85,4458.0,100,0,-1077.206787109375,-1888.374267578125,144.1719512939453,6.223879011954853
3,85,4479.0,100,0,-1077.4827880859375,-1888.658203125,144.1724395751953,6.61985397613976
3,85,4502.0,100,0,-1077.7591552734375,-1888.9425048828125,144.17269897460938,7.016346572678452
3,85,4528.0,100,0,-1078.0362548828125,-1889.22705078125,144.1727294921875,7.41352482329737
3,85,4554.0,100,0,-1078.3138427734375,-1889.511962890625,144.1724395751953,7.811306209415437
3,86,4581.0,100,0,-1078.591796875,-1889.79736328125,144.17184448242188,8.209693231894493
3,86,4609.0,100,0,-1078.8701171875,-1890.0831298828125,144.17088317871094,8.608598823511736
3,86,4632.0,100,0,-1079.1488037109375,-1890.369873046875,144.16969299316406,9.00846034582151
3,86,4647.0,100,0,-1079.4276123046875,-1890.657470703125,144.16836547851562,9.40902046131541
3,86,4655.0,95,0,-1079.7069091796875,-1890.9464111328125,144.16664123535156,9.810886470461806
3,87,4655.0,88,0,-1079.9869384765625,-1891.236328125,144.16455078125,10.213965419882022
3,87,4651.0,81,0,-1080.267333984375,-1891.52734375,144.16209411621094,10.61809135322296
3,87,4645.0,72,0,-1080.54833984375,-1891.8189697265625,144.1591339111328,11.0230836568822
3,87,4621.0,56,0,-1080.82958984375,-1892.1114501953125,144.15565490722656,11.428864990322268
3,87,4577.0,40,0,-1081.1109619140625,-1892.40478515625,144.15206909179688,11.835348076480159
3,87,4526.0,29,0,-1081.392333984375,-1892.6988525390625,144.1485595703125,12.242359359280998
3,87,4475.0,23,0,-1081.673828125,-1892.99365234375,144.145263671875,12.64998264001519
3,88,4431.0,18,0,-1081.9549560546875,-1893.2891845703125,144.14218139648438,13.057881782216976
3,88,4389.0,14,0,-1082.2364501953125,-1893.585205078125,144.13926696777344,13.466385865607203
3,88,4346.0,11,0,-1082.517822265625,-1893.8817138671875,144.1363525390625,13.87515988366359
3,88,4307.0,9,0,-1082.7998046875,-1894.1785888671875,144.1334686279297,14.284619489503912
3,88,4272.0,6,0,-1083.081787109375,-1894.4755859375,144.13064575195312,14.694167184711048
3,88,4244.0,5,0,-1083.3641357421875,-1894.7728271484375,144.12796020507812,15.104143159729947
3,88,4223.0,3,0,-1083.646484375,-1895.0697021484375,144.12557983398438,15.513851815048127
3,88,4207.0,2,0,-1083.92919921875,-1895.3665771484375,144.1233673095703,15.923811988438018
3,88,4198.0,1,0,-1084.2119140625,-1895.6630859375,144.12144470214844,16.333505582831677
3,88,4192.0,1,0,-1084.4949951171875,-1895.9591064453125,144.11981201171875,16.74309768510734
3,88,4190.0,0,0,-1084.778076171875,-1896.2547607421875,144.11839294433594,17.152424401235027
3,88,4188.0,0,0,-1085.061279296875,-1896.550048828125,144.11720275878906,17.561570439035755
3,88,4187.0,0,0,-1085.3447265625,-1896.8446044921875,144.11622619628906,17.970356868966967
3,88,4186.0,0,0,-1085.6285400390625,-1897.138671875,144.1153106689453,18.379045691059037
3,88,4186.0,0,0,-1085.91259765625,-1897.432373046875,144.11436462402344,18.787640849185003
3,88,4185.0,0,0,-1086.1971435546875,-1897.725341796875,144.11338806152344,19.196049970616542
3,88,4183.0,0,0,-1086.48193359375,-1898.01806640625,144.1123809814453,19.60445427702534
3,88,4181.0,0,0,-1086.76708984375,-1898.31005859375,144.11106872558594,20.012590585739154
3,88,4179.0,0,0,-1087.0526123046875,-1898.601318359375,144.10946655273438,20.420460532817366
3,88,4176.0,0,0,-1087.338623046875,-1898.89208984375,144.10743713378906,20.828326098063492
3,88,4173.0,0,0,-1087.625,-1899.1820068359375,144.10494995117188,21.23584273296025
3,87,4170.0,0,0,-1087.9117431640625,-1899.47119140625,144.1022491455078,21.64309775403996
3,87,4168.0,0,0,-1088.198486328125,-1899.7598876953125,144.0994110107422,22.050007135185172
3,87,4166.0,0,0,-1088.4854736328125,-1900.0479736328125,144.09654235839844,22.45665618486231
3,87,4164.0,0,0,-1088.7728271484375,-1900.335693359375,144.0936279296875,22.863304900451034
3,87,4162.0,0,0,-1089.0604248046875,-1900.622802734375,144.0904541015625,23.26969667974578
3,87,4161.0,0,0,-1089.348388671875,-1900.909423828125,144.08670043945312,23.67600805070069
3,87,4160.0,0,0,-1089.6368408203125,-1901.1956787109375,144.0823516845703,24.082413527461572
3,87,4159.0,0,0,-1089.925537109375,-1901.4813232421875,144.07757568359375,24.48856763089624
3,87,4158.0,0,0,-1090.2144775390625,-1901.7666015625,144.0725860595703,24.894640516344424
3,87,4158.0,0,0,-1090.50341796875,-1902.0513916015625,144.0678253173828,25.300367768230952
3,87,4158.0,0,0,-1090.7923583984375,-1902.3359375,144.06332397460938,25.70592072693347
3,87,4158.0,0,0,-1091.081298828125,-1902.6202392578125,144.0590362548828,26.11130011213174
3,87,4157.0,0,0,-1091.3704833984375,-1902.904296875,144.05482482910156,26.51668163822312
3,87,4157.0,1,0,-1091.65966796875,-1903.1878662109375,144.05072021484375,26.92172007078115
3,87,4157.0,1,0,-1091.94921875,-1903.4713134765625,144.04669189453125,27.326933884313355
3,87,4157.0,1,0,-1092.238525390625,-1903.754638671875,144.0429229736328,27.73188536705336
3,87,4157.0,2,0,-1092.5279541015625,-1904.03759765625,144.03948974609375,28.136665001675468
3,87,4156.0,2,0,-1092.8173828125,-1904.3203125,144.03648376464844,28.54127060904637
3,87,4155.0,3,0,-1093.106689453125,-1904.602783203125,144.0338592529297,28.945615657854216
3,87,4153.0,3,0,-1093.39599609375,-1904.884765625,144.03155517578125,29.34961779563039
3,87,4152.0,3,0,-1093.6854248046875,-1905.166748046875,144.02975463867188,29.75370479974623
3,87,4150.0,4,0,-1093.974609375,-1905.4481201171875,144.028564453125,30.15718884428877
3,86,4148.0,5,0,-1094.263671875,-1905.7293701171875,144.0279083251953,30.560499049850332
3,86,4146.0,6,0,-1094.5531005859375,-1906.0101318359375,144.02734375,30.963731538838445
3,86,4143.0,7,0,-1094.84228515625,-1906.2904052734375,144.02658081054688,31.366449178818993
3,86,4141.0,8,0,-1095.131591796875,-1906.570556640625,144.025390625,31.76917059293598
3,86,4139.0,9,0,-1095.421142578125,-1906.8499755859375,144.0235137939453,32.171561105270506
3,86,4138.0,9,0,-1095.7105712890625,-1907.12890625,144.0211639404297,32.57352729275502
3,86,4136.0,9,0,-1095.9998779296875,-1907.4078369140625,144.01876831054688,32.97540586484689
3,86,4134.0,9,0,-1096.2891845703125,-1907.6866455078125,144.01583862304688,33.37720326071628
3,86,4133.0,10,0,-1096.5784912109375,-1907.9656982421875,144.01242065429688,33.77917396037269
3,86,4133.0,10,0,-1096.8670654296875,-1908.2451171875,144.00933837890625,34.180869774575804
3,86,4133.0,10,0,-1097.1556396484375,-1908.5245361328125,144.0057373046875,34.58256990460099
3,86,4134.0,10,0,-1097.4443359375,-1908.80419921875,144.00152587890625,34.98453349133697
3,86,4136.0,10,0,-1097.732666015625,-1909.083984375,143.9973602294922,35.386318658116984
3,86,4137.0,10,0,-1098.0206298828125,-1909.3641357421875,143.9934844970703,35.7880934689805
3,86,4137.0,10,0,-1098.3082275390625,-1909.6441650390625,143.98983764648438,36.189518578444265
3,86,4136.0,10,0,-1098.5955810546875,-1909.9244384765625,143.98646545410156,36.590936832129344
3,86,4135.0,10,0,-1098.8824462890625,-1910.205078125,143.9833984375,36.99225924809808
3,86,4133.0,10,0,-1099.168701171875,-1910.4857177734375,143.9805908203125,37.393143711408136
3,86,4131.0,10,0,-1099.4547119140625,-1910.7664794921875,143.97813415527344,37.79393707782681
3,86,4128.0,10,0,-1099.74072265625,-1911.0472412109375,143.9757843017578,38.19472980377583
3,86,4125.0,10,0,-1100.0262451171875,-1911.3277587890625,143.97341918945312,38.59500318671945
3,86,4123.0,10,0,-1100.3116455078125,-1911.6082763671875,143.97093200683594,38.99519024383574
3,86,4120.0,10,0,-1100.596923828125,-1911.888916015625,143.96832275390625,39.39537662605819
3,86,4118.0,11,0,-1100.8814697265625,-1912.1695556640625,143.96568298339844,39.795041421832174
3,86,4116.0,11,0,-1101.165771484375,-1912.4505615234375,143.9629669189453,40.19479029238026
3,86,4115.0,12,0,-1101.44970703125,-1912.73193359375,143.96031188964844,40.59453606898298
3,86,4114.0,12,0,-1101.733154296875,-1913.013427734375,143.95765686035156,40.99402117856413
3,86,4114.0,12,0,-1102.0164794921875,-1913.2952880859375,143.95494079589844,41.39367828295228
3,86,4114.0,12,0,-1102.299560546875,-1913.5771484375,143.95205688476562,41.79316352454369
3,86,4114.0,12,0,-1102.58251953125,-1913.859130859375,143.94903564453125,42.19264944541897
3,86,4113.0,12,0,-1102.864990234375,-1914.141357421875,143.94589233398438,42.59196312049872
3,86,4113.0,12,0,-1103.1474609375,-1914.4234619140625,143.94261169433594,42.991191633048615
3,86,4112.0,12,0,-1103.42919921875,-1914.7060546875,143.93946838378906,43.390246786031256
3,86,4111.0,12,0,-1103.7105712890625,-1914.9888916015625,143.93655395507812,43.789214774475255
3,86,4110.0,12,0,-1103.991455078125,-1915.2718505859375,143.933837890625,44.18792377462794
3,86,4108.0,12,0,-1104.2718505859375,-1915.5550537109375,143.93121337890625,44.58646177642069
3,85,4106.0,12,0,-1104.5518798828125,-1915.8385009765625,143.9287109375,44.98491506315778
3,85,4104.0,12,0,-1104.8314208984375,-1916.1221923828125,143.92613220214844,45.3831996891136
3,85,4103.0,12,0,-1105.1109619140625,-1916.4058837890625,143.92347717285156,45.78148481634951
3,85,4102.0,12,0,-1105.39013671875,-1916.689697265625,143.92080688476562,46.17960011558989
3,85,4101.0,12,0,-1105.6690673828125,-1916.9737548828125,143.91819763183594,46.5777180044588
3,85,4100.0,12,0,-1105.9476318359375,-1917.2576904296875,143.9157257080078,46.9754913818126
3,85,4099.0,13,0,-1106.2261962890625,-1917.5418701171875,143.91336059570312,47.37343841734452
3,85,4098.0,13,0,-1106.504150390625,-1917.826171875,143.91107177734375,47.77104527186312
3,85,4097.0,13,0,-1106.78173828125,-1918.110595703125,143.9088592529297,48.16848312397487
3,85,4097.0,14,0,-1107.059326171875,-1918.395263671875,143.90664672851562,48.56609573031196
3,85,4096.0,14,0,-1107.3367919921875,-1918.6796875,143.90423583984375,48.9634494868453
3,85,4095.0,14,0,-1107.61376953125,-1918.96435546875,143.90179443359375,49.36063756577246
3,85,4093.0,14,0,-1107.8905029296875,-1919.2490234375,143.89938354492188,49.757655246269444
3,85,4092.0,14,0,-1108.1669921875,-1919.5338134765625,143.89697265625,50.15459036492124
3,85,4090.0,14,0,-1108.4429931640625,-1919.81884765625,143.8945770263672,50.55136077926197
3,85,4089.0,15,0,-1108.71875,-1920.103759765625,143.8922882080078,50.94787305060329
3,85,4087.0,15,0,-1108.994384765625,-1920.388916015625,143.88995361328125,51.34447620397924
3,85,4086.0,15,0,-1109.2698974609375,-1920.6739501953125,143.88746643066406,51.74090767970469
3,85,4085.0,15,0,-1109.5450439453125,-1920.959228515625,143.8848876953125,52.13726100412654
3,85,4085.0,15,0,-1109.8203125,-1921.244384765625,143.88226318359375,52.53361154616675
3,85,4084.0,15,0,-1110.09521484375,-1921.529541015625,143.8796844482422,52.92970753881161
3,85,4084.0,16,0,-1110.3701171875,-1921.8148193359375,143.87716674804688,53.325891028439635
3,85,4084.0,16,0,-1110.6448974609375,-1922.10009765625,143.8746337890625,53.72198992340392
3,85,4083.0,16,0,-1110.9195556640625,-1922.3851318359375,143.87205505371094,54.11782860520497
3,85,4083.0,17,0,-1111.1943359375,-1922.670166015625,143.86949157714844,54.51375189786732
