gear,speed,rpm,throttle,brake,x,y,z,dist
3,87,4271.0,49,0,-1083.6851806640625,-1873.523193359375,143.8776397705078,0.0
3,87,4274.0,49,0,-1083.9716796875,-1873.813232421875,143.87515258789062,0.4076892619187944
3,88,4277.0,48,0,-1084.2581787109375,-1874.1036376953125,143.87265014648438,0.815639228806821
3,88,4280.0,48,0,-1084.544921875,-1874.39404296875,143.87008666992188,1.2237610689342142
3,88,4281.0,48,0,-1084.83154296875,-1874.684814453125,143.86744689941406,1.6320583575566359
3,88,4282.0,48,0,-1085.1181640625,-1874.9759521484375,143.86471557617188,2.040617128287327
3,88,4282.0,47,0,-1085.4049072265625,-1875.2672119140625,143.86199951171875,2.4493484216997805
3,88,4281.0,47,0,-1085.69189453125,-1875.5589599609375,143.85935974121094,2.8585984727633167
3,88,4281.0,47,0,-1085.9788818359375,-1875.8509521484375,143.8568878173828,3.2680215559184354
3,88,4282.0,47,0,-1086.2659912109375,-1876.1434326171875,143.85447692871094,3.677878153031741
3,88,4285.0,47,0,-1086.552978515625,-1876.43603515625,143.8519744873047,4.087736934968409
3,88,4288.0,47,0,-1086.8399658203125,-1876.7291259765625,143.84942626953125,4.497944730380772
3,88,4292.0,47,0,-1087.1270751953125,-1877.022216796875,143.8467254638672,4.908238913273462
3,88,4297.0,49,0,-1087.414306640625,-1877.3155517578125,143.8440704345703,5.318792626769126
3,88,4302.0,49,0,-1087.7012939453125,-1877.6090087890625,143.84152221679688,5.729262157496658
3,88,4306.0,49,0,-1087.9884033203125,-1877.902587890625,143.839111328125,6.139903478446369
3,88,4308.0,49,0,-1088.2755126953125,-1878.1966552734375,143.83682250976562,6.5508933293387805
3,88,4311.0,49,0,-1088.5626220703125,-1878.49072265625,143.8345184326172,6.961883265491225
3,88,4313.0,49,0,-1088.8499755859375,-1878.78515625,143.8321075439453,7.373306401027834
3,88,4315.0,49,0,-1089.137451171875,-1879.079833984375,143.82952880859375,7.784990539078483
3,88,4315.0,49,0,-1089.4249267578125,-1879.374755859375,143.8268280029297,8.196850247249674
3,88,4315.0,49,0,-1089.7125244140625,-1879.669921875,143.82406616210938,8.6089703952953
3,88,4318.0,49,0,-1090.000244140625,-1879.96533203125,143.82131958007812,9.021350493240998
3,89,4320.0,49,0,-1090.2879638671875,-1880.26123046875,143.81861877441406,9.434080211966675
3,89,4323.0,49,0,-1090.575927734375,-1880.5570068359375,143.81588745117188,9.846892891421739
3,89,4325.0,49,0,-1090.864013671875,-1880.8531494140625,143.81314086914062,10.260053244888319
3,89,4328.0,49,0,-1091.1522216796875,-1881.149658203125,143.8103790283203,10.6735613409678
3,89,4331.0,49,0,-1091.4403076171875,-1881.4462890625,143.80775451660156,11.087071029101665
3,89,4333.0,49,0,-1091.7286376953125,-1881.743408203125,143.80531311035156,11.501099987197334
3,89,4335.0,49,0,-1092.0169677734375,-1882.0404052734375,143.8030548095703,11.915040313389643
3,89,4338.0,49,0,-1092.305419921875,-1882.3377685546875,143.80081176757812,12.329328370436132
3,89,4341.0,49,0,-1092.5941162109375,-1882.63525390625,143.7986602783203,12.743873555691913
3,89,4345.0,49,0,-1092.8828125,-1882.9329833984375,143.79653930664062,13.158593818468583
3,89,4347.0,49,0,-1093.171630859375,-1883.2305908203125,143.79449462890625,13.57331107513171
3,89,4349.0,49,0,-1093.4605712890625,-1883.5286865234375,143.7925262451172,13.988463450367991
3,89,4352.0,49,0,-1093.7496337890625,-1883.826904296875,143.7906951904297,14.403787808022992
3,89,4355.0,49,0,-1094.0386962890625,-1884.125244140625,143.78884887695312,14.819199892763528
3,89,4358.0,49,0,-1094.3280029296875,-1884.423583984375,143.786865234375,15.234782531376325
3,89,4360.0,49,0,-1094.617431640625,-1884.72216796875,143.78482055664062,15.65062571714138
3,89,4361.0,49,0,-1094.9068603515625,-1885.0208740234375,143.78280639648438,16.066556411684413
3,89,4362.0,49,0,-1095.19677734375,-1885.3197021484375,143.78077697753906,16.482914705935073
3,89,4365.0,49,0,-1095.4866943359375,-1885.6185302734375,143.7786865234375,16.899273302157624
3,89,4369.0,49,0,-1095.7767333984375,-1885.917724609375,143.77639770507812,17.315980810036283
3,89,4373.0,49,0,-1096.06689453125,-1886.2169189453125,143.77374267578125,17.73277546311221
3,90,4375.0,49,0,-1096.357177734375,-1886.516357421875,143.7707977294922,18.149832308124044
3,90,4376.0,49,0,-1096.647705078125,-1886.8157958984375,143.7678680419922,18.567059011226025
3,90,4376.0,49,0,-1096.9385986328125,-1887.1153564453125,143.76499938964844,18.984627940349167
3,90,4378.0,49,0,-1097.2296142578125,-1887.4151611328125,143.7621307373047,19.4024570606931
3,90,4379.0,49,0,-1097.5208740234375,-1887.7154541015625,143.7592010498047,19.820807035261602
3,90,4381.0,49,0,-1097.812255859375,-1888.0157470703125,143.75601196289062,20.239243902268253
3,90,4383.0,49,0,-1098.1038818359375,-1888.316162109375,143.752685546875,20.65793946105108
3,90,4386.0,49,0,-1098.3955078125,-1888.61669921875,143.74928283691406,21.076723227155487
3,90,4389.0,49,0,-1098.6876220703125,-1888.9173583984375,143.7459259033203,21.495934332627254
3,90,4393.0,49,0,-1098.9798583984375,-1889.21826171875,143.74261474609375,21.915405241527083
3,90,4396.0,49,0,-1099.2720947265625,-1889.5191650390625,143.73934936523438,22.334875791581823
3,90,4397.0,47,0,-1099.5645751953125,-1889.8201904296875,143.736083984375,22.754604004969142
3,90,4398.0,47,0,-1099.8572998046875,-1890.121337890625,143.73281860351562,23.1745899010121
3,90,4399.0,47,0,-1100.1502685546875,-1890.4224853515625,143.7295379638672,23.594746115177937
3,90,4398.0,47,0,-1100.4432373046875,-1890.723876953125,143.72625732421875,24.015077351901397
3,90,4398.0,47,0,-1100.7364501953125,-1891.0252685546875,143.7230224609375,24.435578435207404
3,90,4398.0,47,0,-1101.0299072265625,-1891.32666015625,143.71981811523438,24.856249559143738
3,90,4400.0,47,0,-1101.3236083984375,-1891.6285400390625,143.71665954589844,25.277440511762485
3,90,4402.0,47,0,-1101.617431640625,-1891.9302978515625,143.71347045898438,25.69862935934716
3,90,4404.0,47,0,-1101.9112548828125,-1892.232177734375,143.71023559570312,26.119906020980476
3,90,4407.0,47,0,-1102.2054443359375,-1892.5341796875,143.70700073242188,26.541525610612826
3,91,4410.0,47,0,-1102.4996337890625,-1892.83642578125,143.70370483398438,26.963320582682943
3,91,4411.0,47,0,-1102.7940673828125,-1893.1385498046875,143.7004852294922,27.385197854552015
3,91,4412.0,47,0,-1103.088623046875,-1893.4407958984375,143.6974639892578,27.80724627394366
3,91,4413.0,47,0,-1103.383544921875,-1893.7431640625,143.6945343017578,28.229637090677276
3,91,4415.0,47,0,-1103.678466796875,-1894.0455322265625,143.69171142578125,28.652027180074295
